Time,Episode,Steps,ActorLoss,CriticLoss,AgentAC_reward,Agent0_reward,Agent1_reward,Agent2_reward
1596540935.1194599,1464,232,-321.9713439941406,0.8472935557365417,-13.300000000000002,18.0,-8.0,-6.0
1596540939.5244641,1465,533,949.3801879882812,0.9958927631378174,-17.899999999999977,-3.0,-8.0,18.0
1596540942.297525,1466,325,836.6527709960938,0.9910677671432495,-14.700000000000001,-7.0,-7.0,18.0
1596540946.6286445,1467,527,1007.1864624023438,0.8723115921020508,-16.69999999999999,-5.0,18.0,-4.0
1596540949.8759582,1468,387,379.1856384277344,0.9135205745697021,-17.39999999999999,-8.0,-8.0,18.0
1596540951.921181,1469,235,963.4578247070312,0.8377475142478943,-13.500000000000002,-8.0,-6.0,18.0
1596540954.0533545,1470,239,100.13899230957031,0.9156865477561951,-11.900000000000002,-7.0,-8.0,18.0
1596540958.216584,1471,504,-660.303955078125,0.9534130692481995,-15.499999999999998,18.0,-3.0,-8.0
1596540962.5303426,1472,528,1433.91015625,0.8923305869102478,-17.49999999999999,-4.0,-4.0,18.0
1596540965.1220617,1473,276,-1195.6781005859375,1.0204474925994873,10.499999999999998,-8.0,-7.0,-7.0
1596540968.555444,1474,418,3539.446044921875,0.9670044183731079,-16.49999999999999,-7.0,-4.0,18.0
1596540971.7368789,1475,378,50.64469528198242,0.8930914998054504,-14.200000000000003,18.0,-5.0,-7.0
1596540974.3830507,1476,302,-308.2851867675781,0.7836243510246277,-10.5,-8.0,-5.0,18.0
1596540980.340063,1477,732,1839.505615234375,1.0019758939743042,-22.899999999999974,-7.0,18.0,-3.0
